concept_code,vocabulary_id,cluster
D75.82,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R70,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R70.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R70.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R71,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R71.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R71.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73.01,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73.02,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73.03,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73.09,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R74,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R74.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R74.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R76,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R76.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R76.12,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R76.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R76.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R77,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R77.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R77.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R77.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R77.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R77.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R78.81,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.81,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.82,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.89,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80.3,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R81,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.3,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.4,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.7,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.71,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.79,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.81,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.89,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.90,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.91,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.99,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R83,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R83.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R83.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R83.4,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R83.5,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R83.6,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R83.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R83.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R84,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R84.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R84.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R84.4,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R84.5,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R84.6,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R84.7,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R84.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R84.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R85,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R85.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R85.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R85.4,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R85.5,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R85.6,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R85.69,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R85.7,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R85.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R85.89,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R85.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R86,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R86.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R86.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R86.4,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R86.5,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R86.6,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R86.7,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R86.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R86.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R87,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R87.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R87.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R87.4,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R87.5,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R87.6,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R87.61,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R88.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
